state,x,y
Andhra Pradesh,-68,-143
Arunachal Pradesh,209,131
Assam,187,89
Bihar,60,69
Chhattisgarh,-11,-16
Goa,-161,-136
Gujarat,-202,20
Haryana,-108,138
Himachal Pradesh,-89,197
Jharkhand,49,25
Karnataka,-129,-155
Kerala,-117,-235
Madhya Pradesh,-82,18
Maharashtra,-139,-58
Manipur,206,61
Meghalaya,155,71
Mizoram,188,31
Nagaland,216,80
Odisha,37,-31
Punjab,-123,175
Rajasthan,-161,92
Sikkim,106,113
Tamil Nadu,-79,-222
Telangana,-64,-84
Tripura,166,38
Uttar Pradesh,-34,94
Uttarakhand,-55,156
West Bengal,98,10
Delhi,-94,129
Jammu And Kashmir,-103,237